Date,Actual_Next_Close,ARIMA_Pred,RF_Pred,Hybrid_Weighted_Pred
2022-07-25,268.433319,272.40083491090456,269.7704715919074,271.6117259152054
2022-07-26,258.859985,268.3954212886924,257.53310948084436,265.13672774633795
2022-07-27,274.820007,259.75950584896884,278.2327170438416,265.30146920743067
2022-07-28,280.899994,275.0936996525761,279.54693746721955,276.4296709969691
2022-07-29,297.149994,280.74183636397333,303.65870933560853,287.61689825546387
2022-08-01,297.276672,295.97937212349046,304.51445149571595,298.5398959351581
2022-08-02,300.58667,297.4597459482276,310.0294025862629,301.2306429396382
2022-08-03,307.396667,300.8104521845951,315.42131071892777,305.1937097448949
2022-08-04,308.633331,308.05517183855954,319.30002217854826,311.42862694055617
2022-08-05,288.170013,309.08472902794426,287.96189768393145,302.7478796247404
2022-08-08,290.42334,288.5925863498145,295.06116204391833,290.5331590580456
2022-08-09,283.333344,290.653111404828,279.16460413700025,287.20655922447963
2022-08-10,294.356659,284.1348352170678,291.7834424850414,286.4294173974599
2022-08-11,286.630005,293.27457720889817,288.00631477886543,291.69409847988834
2022-08-12,300.029999,286.72423977941594,306.9571738012794,292.794119985975
2022-08-15,309.320007,298.97879108307285,311.29349246890627,302.6732014988229
2022-08-16,306.563324,309.70711384495604,317.8084965966563,312.1375286704661
2022-08-17,303.996674,306.2477203143026,310.9961448507001,307.67224767522185
2022-08-18,302.869995,304.1761795520637,311.3768888170463,306.33639233155844
2022-08-19,296.666656,303.52509468288986,303.14871760393146,303.41218155920234
2022-08-22,289.91333,296.9207916530999,291.3201958855346,295.24061292283034
2022-08-23,296.453339,289.9392231140358,304.06844768234066,294.1779904845273
2022-08-24,297.09668,296.3366180168148,305.53105335976005,299.09494861969836
2022-08-25,296.070007,297.06723668910723,300.0683417075174,297.96756819463025
2022-08-26,288.089996,295.61254666772663,287.3402314817846,293.130852111944
2022-08-29,284.820007,288.4273175249053,281.9263837270409,286.47703738554594
2022-08-30,277.700012,284.99518982961445,274.2494822607358,281.77147755895083
2022-08-31,275.609985,278.0408164744581,273.0231372665098,276.53551271207357
2022-09-01,277.160004,275.3902295582693,276.6810607395871,275.7774789126646
2022-09-02,270.209991,277.0882035841252,272.9790384748316,275.8554540513371
2022-09-06,274.420013,270.1387805808405,276.8717642415726,272.15867567906014
2022-09-07,283.700012,274.04880051136814,282.42489729651703,276.5616295469128
2022-09-08,289.26001,283.71581041218514,282.96433672669747,283.4903683065388
2022-09-09,299.679993,288.853301677263,303.34612005436026,293.20114719039213
2022-09-12,304.420013,299.33817359703403,308.1953298564086,301.9953204748464
2022-09-13,292.130005,304.66153123879093,291.50731855751457,300.715267434408
2022-09-14,302.609985,292.4009627917364,305.35154224099074,296.28613662651264
2022-09-15,303.75,302.54615543526256,307.0693965948531,303.9031277831397
2022-09-16,303.350006,304.3713040684187,307.1768024992341,305.2129535976633
2022-09-19,309.070007,302.77574854397585,309.74370208523777,304.8661346063544
2022-09-20,308.730011,309.07665871996437,315.0800311628863,310.8776704528409
2022-09-21,300.799988,308.9553645679086,304.56351205441797,307.6378088138614
2022-09-22,288.589996,300.8686648682589,289.60303574163254,297.488976130271
2022-09-23,275.329987,288.9820728960958,274.1491338200666,284.53219117328706
2022-09-26,276.01001,275.6714540252684,276.98826553588447,276.06649747845324
2022-09-27,282.940002,275.92652748438536,281.6115026152676,277.63202002365
2022-09-28,287.809998,282.7565985853192,284.98318233450135,283.4245737100738
